epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.4056,1.35934,2.96705,1.59105,0.78135,0.1,0.29658,0.14713,1.47573,3.71711,1.79167,0.000543038,0.000543038,0.000543038
2,54.1096,1.42487,2.51444,1.61751,0.24305,0.15263,0.1182,0.03906,2.24621,4.16254,2.46352,0.00104432,0.00104432,0.00104432
3,61.5912,1.48381,2.34853,1.64301,0.35281,0.35263,0.26727,0.11915,1.95726,4.33483,2.43506,0.00149059,0.00149059,0.00149059
4,69.0952,1.51251,2.25023,1.66077,0.41951,0.31053,0.31192,0.14045,1.85326,3.67365,2.26864,0.00141945,0.00141945,0.00141945
5,76.6596,1.48163,2.06697,1.64738,0.39233,0.36842,0.35407,0.16469,1.82968,2.67163,2.16793,0.00133693,0.00133693,0.00133693
6,84.1648,1.42733,1.9689,1.62071,0.24421,0.38947,0.24318,0.11335,1.77191,3.14803,2.05958,0.00125442,0.00125442,0.00125442
7,91.6533,1.41094,1.84741,1.58625,0.58076,0.39474,0.43829,0.22072,1.61669,2.61152,1.86187,0.0011719,0.0011719,0.0011719
8,99.167,1.38973,1.77814,1.57533,0.57324,0.32522,0.3775,0.19486,1.7789,2.56672,2.00491,0.00108938,0.00108938,0.00108938
9,106.716,1.35534,1.6822,1.55129,0.6094,0.48421,0.55767,0.29357,1.57734,1.97267,1.78937,0.00100687,0.00100687,0.00100687
10,114.209,1.32589,1.62017,1.50639,0.53483,0.53684,0.53252,0.30503,1.49109,1.88839,1.69161,0.000924352,0.000924352,0.000924352
11,141.516,1.29679,1.70657,1.59035,0.52639,0.45263,0.48487,0.27711,1.55312,2.01359,1.7925,0.000841835,0.000841835,0.000841835
12,149.02,1.28971,1.5804,1.54656,0.53852,0.50526,0.53632,0.31542,1.53134,1.89736,1.73711,0.000759318,0.000759318,0.000759318
13,156.437,1.24435,1.49349,1.525,0.59188,0.56316,0.56693,0.30444,1.5732,1.87183,1.75862,0.000676802,0.000676802,0.000676802
14,164.858,1.18979,1.41486,1.47734,0.5878,0.52538,0.54495,0.30885,1.52254,1.89789,1.75945,0.000594286,0.000594286,0.000594286
15,172.284,1.16743,1.41506,1.45817,0.59535,0.57304,0.60976,0.37159,1.36263,1.62425,1.59337,0.000511769,0.000511769,0.000511769
16,179.615,1.071,1.28924,1.38254,0.58676,0.60532,0.60522,0.3626,1.39337,1.67737,1.60502,0.000429253,0.000429253,0.000429253
17,187.097,1.03586,1.22029,1.35288,0.70918,0.57368,0.6529,0.39161,1.32392,1.47304,1.52845,0.000346736,0.000346736,0.000346736
18,194.526,1.0128,1.17889,1.33535,0.60329,0.65263,0.63418,0.38365,1.38605,1.58568,1.60687,0.00026422,0.00026422,0.00026422
19,201.931,0.98326,1.12173,1.31911,0.60503,0.62105,0.64778,0.40996,1.33065,1.50891,1.54142,0.000181703,0.000181703,0.000181703
20,209.315,0.93262,1.04547,1.28449,0.60074,0.67895,0.68575,0.43386,1.30694,1.41324,1.51263,9.91865e-05,9.91865e-05,9.91865e-05
